data;label;
dogCatTraining/images/Abyssinian_1.jpg;dogCatTraining/annotations/trimaps/Abyssinian_1.png;
dogCatTraining/images/Abyssinian_2.jpg;dogCatTraining/annotations/trimaps/Abyssinian_2.png;
dogCatTraining/images/Abyssinian_3.jpg;dogCatTraining/annotations/trimaps/Abyssinian_3.png;
dogCatTraining/images/Abyssinian_4.jpg;dogCatTraining/annotations/trimaps/Abyssinian_4.png;
dogCatTraining/images/Abyssinian_5.jpg;dogCatTraining/annotations/trimaps/Abyssinian_5.png;
dogCatTraining/images/Abyssinian_6.jpg;dogCatTraining/annotations/trimaps/Abyssinian_6.png;
dogCatTraining/images/Abyssinian_7.jpg;dogCatTraining/annotations/trimaps/Abyssinian_7.png;
dogCatTraining/images/Abyssinian_8.jpg;dogCatTraining/annotations/trimaps/Abyssinian_8.png;
dogCatTraining/images/Abyssinian_9.jpg;dogCatTraining/annotations/trimaps/Abyssinian_9.png;
dogCatTraining/images/Abyssinian_10.jpg;dogCatTraining/annotations/trimaps/Abyssinian_10.png;
dogCatTraining/images/Abyssinian_11.jpg;dogCatTraining/annotations/trimaps/Abyssinian_11.png;
dogCatTraining/images/Abyssinian_12.jpg;dogCatTraining/annotations/trimaps/Abyssinian_12.png;
dogCatTraining/images/Abyssinian_13.jpg;dogCatTraining/annotations/trimaps/Abyssinian_13.png;
dogCatTraining/images/Abyssinian_14.jpg;dogCatTraining/annotations/trimaps/Abyssinian_14.png;
dogCatTraining/images/Abyssinian_15.jpg;dogCatTraining/annotations/trimaps/Abyssinian_15.png;
dogCatTraining/images/Abyssinian_16.jpg;dogCatTraining/annotations/trimaps/Abyssinian_16.png;
dogCatTraining/images/Abyssinian_17.jpg;dogCatTraining/annotations/trimaps/Abyssinian_17.png;
dogCatTraining/images/Abyssinian_18.jpg;dogCatTraining/annotations/trimaps/Abyssinian_18.png;
dogCatTraining/images/Abyssinian_19.jpg;dogCatTraining/annotations/trimaps/Abyssinian_19.png;
dogCatTraining/images/Abyssinian_20.jpg;dogCatTraining/annotations/trimaps/Abyssinian_20.png;
dogCatTraining/images/Abyssinian_21.jpg;dogCatTraining/annotations/trimaps/Abyssinian_21.png;
dogCatTraining/images/Abyssinian_22.jpg;dogCatTraining/annotations/trimaps/Abyssinian_22.png;
dogCatTraining/images/Abyssinian_24.jpg;dogCatTraining/annotations/trimaps/Abyssinian_24.png;
dogCatTraining/images/Abyssinian_25.jpg;dogCatTraining/annotations/trimaps/Abyssinian_25.png;
dogCatTraining/images/Abyssinian_26.jpg;dogCatTraining/annotations/trimaps/Abyssinian_26.png;
dogCatTraining/images/Abyssinian_27.jpg;dogCatTraining/annotations/trimaps/Abyssinian_27.png;
dogCatTraining/images/Abyssinian_29.jpg;dogCatTraining/annotations/trimaps/Abyssinian_29.png;
dogCatTraining/images/Abyssinian_30.jpg;dogCatTraining/annotations/trimaps/Abyssinian_30.png;
dogCatTraining/images/Abyssinian_31.jpg;dogCatTraining/annotations/trimaps/Abyssinian_31.png;
dogCatTraining/images/Abyssinian_32.jpg;dogCatTraining/annotations/trimaps/Abyssinian_32.png;
dogCatTraining/images/Abyssinian_33.jpg;dogCatTraining/annotations/trimaps/Abyssinian_33.png;
dogCatTraining/images/Abyssinian_34.jpg;dogCatTraining/annotations/trimaps/Abyssinian_34.png;
dogCatTraining/images/Abyssinian_36.jpg;dogCatTraining/annotations/trimaps/Abyssinian_36.png;
dogCatTraining/images/Abyssinian_37.jpg;dogCatTraining/annotations/trimaps/Abyssinian_37.png;
dogCatTraining/images/Abyssinian_40.jpg;dogCatTraining/annotations/trimaps/Abyssinian_40.png;
dogCatTraining/images/Abyssinian_43.jpg;dogCatTraining/annotations/trimaps/Abyssinian_43.png;
dogCatTraining/images/Abyssinian_44.jpg;dogCatTraining/annotations/trimaps/Abyssinian_44.png;
dogCatTraining/images/Abyssinian_45.jpg;dogCatTraining/annotations/trimaps/Abyssinian_45.png;
dogCatTraining/images/Abyssinian_46.jpg;dogCatTraining/annotations/trimaps/Abyssinian_46.png;
dogCatTraining/images/Abyssinian_47.jpg;dogCatTraining/annotations/trimaps/Abyssinian_47.png;
dogCatTraining/images/Abyssinian_48.jpg;dogCatTraining/annotations/trimaps/Abyssinian_48.png;
dogCatTraining/images/Abyssinian_49.jpg;dogCatTraining/annotations/trimaps/Abyssinian_49.png;
dogCatTraining/images/Abyssinian_50.jpg;dogCatTraining/annotations/trimaps/Abyssinian_50.png;
dogCatTraining/images/Abyssinian_51.jpg;dogCatTraining/annotations/trimaps/Abyssinian_51.png;
dogCatTraining/images/Abyssinian_52.jpg;dogCatTraining/annotations/trimaps/Abyssinian_52.png;
dogCatTraining/images/Abyssinian_54.jpg;dogCatTraining/annotations/trimaps/Abyssinian_54.png;
dogCatTraining/images/Abyssinian_55.jpg;dogCatTraining/annotations/trimaps/Abyssinian_55.png;
dogCatTraining/images/Abyssinian_56.jpg;dogCatTraining/annotations/trimaps/Abyssinian_56.png;
dogCatTraining/images/Abyssinian_57.jpg;dogCatTraining/annotations/trimaps/Abyssinian_57.png;
dogCatTraining/images/Abyssinian_58.jpg;dogCatTraining/annotations/trimaps/Abyssinian_58.png;
dogCatTraining/images/Abyssinian_60.jpg;dogCatTraining/annotations/trimaps/Abyssinian_60.png;
dogCatTraining/images/Abyssinian_61.jpg;dogCatTraining/annotations/trimaps/Abyssinian_61.png;
dogCatTraining/images/Abyssinian_62.jpg;dogCatTraining/annotations/trimaps/Abyssinian_62.png;
dogCatTraining/images/Abyssinian_63.jpg;dogCatTraining/annotations/trimaps/Abyssinian_63.png;
dogCatTraining/images/Abyssinian_65.jpg;dogCatTraining/annotations/trimaps/Abyssinian_65.png;
dogCatTraining/images/Abyssinian_66.jpg;dogCatTraining/annotations/trimaps/Abyssinian_66.png;
dogCatTraining/images/Abyssinian_67.jpg;dogCatTraining/annotations/trimaps/Abyssinian_67.png;
dogCatTraining/images/Abyssinian_68.jpg;dogCatTraining/annotations/trimaps/Abyssinian_68.png;
dogCatTraining/images/Abyssinian_69.jpg;dogCatTraining/annotations/trimaps/Abyssinian_69.png;
dogCatTraining/images/Abyssinian_70.jpg;dogCatTraining/annotations/trimaps/Abyssinian_70.png;
dogCatTraining/images/Abyssinian_71.jpg;dogCatTraining/annotations/trimaps/Abyssinian_71.png;
dogCatTraining/images/Abyssinian_72.jpg;dogCatTraining/annotations/trimaps/Abyssinian_72.png;
dogCatTraining/images/Abyssinian_73.jpg;dogCatTraining/annotations/trimaps/Abyssinian_73.png;
dogCatTraining/images/Abyssinian_74.jpg;dogCatTraining/annotations/trimaps/Abyssinian_74.png;
dogCatTraining/images/Abyssinian_75.jpg;dogCatTraining/annotations/trimaps/Abyssinian_75.png;
dogCatTraining/images/Abyssinian_76.jpg;dogCatTraining/annotations/trimaps/Abyssinian_76.png;
dogCatTraining/images/Abyssinian_77.jpg;dogCatTraining/annotations/trimaps/Abyssinian_77.png;
dogCatTraining/images/Abyssinian_78.jpg;dogCatTraining/annotations/trimaps/Abyssinian_78.png;
dogCatTraining/images/Abyssinian_79.jpg;dogCatTraining/annotations/trimaps/Abyssinian_79.png;
